COSMIC_GENE_ID	GENE_SYMBOL	GENE_ACCESSION	ENTREZ_ID	HGNC_ID	IN_CANCER_CENSUS	IS_EXPERT_CURATED
COSG63923	AC233263.6	ENSG00000281904.1			n	n
COSG63932	EXOGP1	ENSG00000263748.1		44547	n	n
COSG65083	MGLL	ENSG00000074416.13	11343	17038	n	n
COSG65084	FGD4	ENSG00000139132.14	121512	19125	n	n
COSG65146	AC006366.1	ENSG00000244000.1			n	n
COSG61561	AC107297.1	ENSG00000240572.1			n	n
COSG61596	AGK	ENSG00000006530.15	55750	21869	n	n
COSG61620	NOG	ENSG00000183691.4	9241	7866	n	n
COSG62755	CR848007.2	ENSG00000229079.1			n	n
COSG62758	AC138904.1	ENSG00000246465.1			n	n
COSG62759	AC091132.4	ENSG00000266918.1			n	n
COSG62771	HBG2	ENSG00000196565.14	3048	4832	n	n
COSG62799	AL356986.1	ENSG00000270850.1			n	n
COSG62803	RNU6-492P	ENSG00000199905.1		47455	n	n
COSG62822	MIR548AV	ENSG00000263750.1		43537	n	n
COSG63989	AC010638.1	ENSG00000250250.1			n	n
COSG63999	AL023807.1	ENSG00000220920.1			n	n
COSG64000	GTF2A1L	ENSG00000242441.7	11036	30727	n	n
COSG64009	CPE	ENSG00000109472.13	1363	2303	n	n
COSG65208	C3orf14	ENSG00000114405.10	57415	25024	n	n
COSG61633	AL121906.1	ENSG00000271803.1			n	n
COSG61634	AC020910.3	ENSG00000271049.1			n	n
COSG61651	Z83843.1	ENSG00000271533.1			n	n
COSG61659	AC005020.1	ENSG00000224448.1			n	n
COSG61662	AL035419.1	ENSG00000213959.2			n	n
COSG61686	AC025252.2	ENSG00000257035.1			n	n
COSG62828	RMND1	ENSG00000155906.17	55005	21176	n	n
COSG62873	AC100788.2	ENSG00000279339.1			n	n
COSG62885	AC009268.2	ENSG00000278472.1			n	n
COSG62889	MRPS5P4	ENSG00000266915.1		29779	n	n
COSG62901	AC099811.5	ENSG00000278829.1			n	n
COSG64022	AGL	ENSG00000162688.16	178	321	n	n
COSG64030	FOXL1	ENSG00000176678.5	2300	3817	n	n
COSG64033	AC087235.1	ENSG00000115934.11			n	n
COSG64042	HMGB1P8	ENSG00000259699.2		13319	n	n
COSG64046	SNHG19	ENSG00000260260.1		49574	n	n
COSG64078	MIR194-2HG	ENSG00000229719.5		51946	n	n
COSG64089	MRPS12	ENSG00000128626.11	6183	10380	n	n
COSG65248	AF146191.1	ENSG00000271307.3			n	n
COSG65264	AC009086.3	ENSG00000279583.1			n	n
COSG65280	GUCA2B	ENSG00000044012.3	2981	4683	n	n
COSG65287	NUDT15	ENSG00000136159.3	55270	23063	n	n
COSG61708	CCN3	ENSG00000136999.4	4856	7885	n	n
COSG61709	MRPS36P2	ENSG00000249539.1		29772	n	n
COSG61741	LARP7P1	ENSG00000271588.1		49763	n	n
COSG61760	BCL2L2-PABPN1	ENSG00000258643.5	100529063	42959	n	n
COSG61761	CTAGE7P	ENSG00000233122.2		25111	n	n
COSG61762	HDAC1P1	ENSG00000234724.1		45190	n	n
COSG62907	AC008799.1	ENSG00000240388.2			n	n
COSG62927	LINC02546	ENSG00000255117.5		53581	n	n
COSG62975	CD46	ENSG00000117335.19	4179	6953	n	n
COSG64107	RNU6-1229P	ENSG00000201165.1		48192	n	n
COSG64130	SOST	ENSG00000167941.2	50964	13771	n	n
COSG64141	AC008760.2	ENSG00000276980.1			n	n
COSG64149	AP005210.1	ENSG00000263797.1			n	n
COSG64150	AL139351.1	ENSG00000276923.1			n	n
COSG64159	MTCO3P9	ENSG00000249698.1		52039	n	n
COSG64165	LINC01817	ENSG00000231420.1		52622	n	n
COSG64170	CNTN4-AS1	ENSG00000237990.3		39985	n	n
COSG65316	AF201337.1	ENSG00000254332.1			n	n
COSG65341	LINC02199	ENSG00000250198.1		53065	n	n
COSG65354	C3orf49	ENSG00000163632.13	132200	25190	n	n
COSG65365	AC092681.1	ENSG00000224016.2			n	n
COSG61789	IGFL1P2	ENSG00000268238.1		32957	n	n
COSG61809	CBX3P6	ENSG00000228837.2		42878	n	n
COSG61840	ZNRF3-AS1	ENSG00000177993.3		41927	n	n
COSG61845	PDCD1	ENSG00000188389.10	5133	8760	n	n
COSG61851	AL117339.4	ENSG00000272983.1			n	n
COSG63000	ERMARD	ENSG00000130023.15	55780	21056	n	n
COSG63003	RF00019	ENSG00000201309.1			n	n
COSG63048	AC006236.1	ENSG00000262961.1			n	n
COSG64186	PRPF4B	ENSG00000112739.16	8899	17346	n	n
COSG64191	PCDHB7	ENSG00000113212.6	56129	8692	n	n
COSG64204	ADIPOR2	ENSG00000006831.9	79602	24041	n	n
COSG64211	TIGD3	ENSG00000173825.6	220359	18334	n	n
COSG64213	AL158834.2	ENSG00000227253.3			n	n
COSG64225	RPSAP74	ENSG00000253621.1		51928	n	n
COSG64234	RNA5SP49	ENSG00000252259.1		42825	n	n
COSG65376	APTX	ENSG00000137074.18	54840	15984	n	n
COSG65378	RF00096	ENSG00000202269.1			n	n
COSG65384	IL4R	ENSG00000077238.13	3566	6015	n	n
COSG65417	C18orf15	ENSG00000279020.1		26447	n	n
COSG65426	AC063926.2	ENSG00000279146.1			n	n
COSG65444	LINC01645	ENSG00000224968.1		52432	n	n
COSG65448	RN7SL769P	ENSG00000276956.1		46785	n	n
COSG61880	AL158166.2	ENSG00000232259.1			n	n
COSG61901	AC068234.3	ENSG00000276790.1			n	n
COSG61909	GSN-AS1	ENSG00000235865.2		23372	n	n
COSG63053	AC084121.4	ENSG00000284698.1			n	n
COSG63070	GUCY1B1	ENSG00000061918.12	2983	4687	n	n
COSG63089	ATG3	ENSG00000144848.10	64422	20962	n	n
COSG64256	AC018529.2	ENSG00000278330.1			n	n
COSG64304	TBX15	ENSG00000092607.14	6913	11594	n	n
COSG64312	TTTY21B	ENSG00000237563.1		37980	n	n
COSG64319	PUM2	ENSG00000055917.15	23369	14958	n	n
COSG65456	SGK2	ENSG00000101049.14	10110	13900	n	n
COSG65462	MIR6723	ENSG00000278791.1		50152	n	n
COSG65477	MAOB	ENSG00000069535.13	4129	6834	n	n
COSG65480	FAM219A	ENSG00000164970.14	203259	19920	n	n
COSG65502	CST12P	ENSG00000226344.1		31920	n	n
COSG65507	CNTF	ENSG00000242689.2	1270	2169	n	n
COSG61930	ERH	ENSG00000100632.10	2079	3447	n	n
COSG61967	AC139792.1	ENSG00000271771.1			n	n
COSG61986	RORA-AS1	ENSG00000245534.6		51410	n	n
COSG62004	ZNF257	ENSG00000197134.11	113835	13498	n	n
COSG63139	AC020913.2	ENSG00000269480.1			n	n
COSG63150	MRE11	ENSG00000020922.12	4361	7230	n	n
COSG63169	AC004491.1	ENSG00000279996.1			n	n
COSG63170	AC131097.3	ENSG00000224272.2			n	n
COSG63185	GLULP4	ENSG00000178723.7		4345	n	n
COSG64337	AP000721.2	ENSG00000256824.1			n	n
COSG64342	RF00019	ENSG00000207039.1			n	n
COSG64370	RNU1-132P	ENSG00000201170.1		48474	n	n
COSG64389	AL358913.2	ENSG00000258894.1			n	n
COSG65537	HSBP1P1	ENSG00000258650.1		20053	n	n
COSG65539	AC145285.7	ENSG00000278528.1			n	n
COSG65557	SPIDR	ENSG00000164808.16	23514	28971	n	n
COSG65569	MTCO2P18	ENSG00000234480.1		52034	n	n
COSG65579	RPL26P20	ENSG00000219722.1		35933	n	n
COSG62008	MIR4439	ENSG00000263828.1		41622	n	n
COSG62022	MIRLET7BHG	ENSG00000197182.14		37189	n	n
COSG62067	HINT1P1	ENSG00000231531.5		18467	n	n
COSG63207	AC025262.1	ENSG00000215159.3			n	n
COSG63212	AC092574.1	ENSG00000272885.1			n	n
COSG63246	AL360091.2	ENSG00000230063.1			n	n
COSG63259	VDAC1	ENSG00000213585.10	7416	12669	n	n
COSG63272	AC009646.2	ENSG00000254687.1			n	n
COSG64402	INTS12	ENSG00000138785.14	57117	25067	n	n
COSG64407	TOP3B	ENSG00000100038.19	8940	11993	n	n
COSG64414	GPX1	ENSG00000233276.4	2876	4553	n	n
COSG64425	AL358790.1	ENSG00000282772.1			n	n
COSG64430	AC024884.2	ENSG00000276272.1			n	n
COSG64435	DNM1L	ENSG00000087470.17	10059	2973	n	n
COSG64466	DRD4	ENSG00000069696.6	1815	3025	n	n
COSG65647	AC024451.2	ENSG00000253330.1			n	n
COSG65652	MIR499B	ENSG00000283441.1		41640	n	n
COSG65663	PCSK7	ENSG00000160613.12	9159	8748	n	n
COSG65673	AL359736.2	ENSG00000277040.1			n	n
COSG62081	CU633906.3	ENSG00000279709.1			n	n
COSG62084	AC131254.1	ENSG00000248964.6			n	n
COSG62086	AL583808.1	ENSG00000225087.1			n	n
COSG62092	UBE2G1	ENSG00000132388.12	7326	12482	n	n
COSG62099	RF00019	ENSG00000206717.1			n	n
COSG62102	RNU6-297P	ENSG00000207366.1		47260	n	n
COSG62125	Z98755.1	ENSG00000217120.1			n	n
COSG63284	LINC01018	ENSG00000250056.5		27394	n	n
COSG63290	RRN3P1	ENSG00000248124.7		30548	n	n
COSG63327	ASXL1	ENSG00000171456.17	171023	18318	y	y
COSG63347	AC087498.1	ENSG00000180042.5			n	n
COSG64486	CNOT7	ENSG00000198791.11	29883	14101	n	n
COSG64489	AC010598.1	ENSG00000251374.1			n	n
